Expiration,Days to Exp,Type,Volume Calls,Volume Puts,Put-Call Vol Ratio,OI Calls,OI Puts,Put-Call OI Ratio,Implied Volatility,Expected Move,Max Pain,Max Pain vs Current,ATM IV,IV % Chg,Put 25-Delta,Call 25-Delta,ATM Put,ATM Call,ATM Strike,ATM Volume,% of Total Vol,Open Premium %,Premium $,Business Days
Mar 20, 2026,"133 days","Monthly","17,253 calls","8,484 puts","0.49 ratio","185,869 calls OI","258,449 puts OI","1.39 put-heavy","58.1% IV","±114.43%","$355 max pain","-$82.91","58.5% ATM IV","-2.6%","-1.0% put","4.4% call","-3.8% ATM put","-1.7% ATM call","$590 strike","25,629 vol","0.7%","27.70%","$118.80","89 days"
Apr 17, 2026,"161 days","Monthly","4,666 calls","3,239 puts","0.69","50,278 calls OI","50,204 puts OI","1.00 parity","58.45% IV","±128.86%","$405 max pain","-$32.91","58.8% ATM IV","-2.6%","-1.0% put","4.8% call","-3.4% ATM put","-1.4% ATM call","$610 strike","7,902 vol","0.2%","30.50%","$131.10","108 days"
May 15, 2026,"189 days","Monthly","5,601 calls","5,204 puts","0.93 ratio","38,756 calls OI","60,854 puts OI","1.57 put-heavy","59.56% IV","±139.82%","$370 max pain","-$67.91","59.6% ATM IV","-2.3%","-1.0% put","5.2% call","-2.8% ATM put","-1.1% ATM call","$640 strike","10,802 vol","0.3%","33.60%","$144.29","128 days"
Jun 18, 2026,"223 days","Weekly","13,865 calls","4,370 puts","0.32 call-heavy","458,993 calls OI","290,044 puts OI","0.63 OI","59.24% IV","±153.15%","$280 max pain","-$157.91","59.3% ATM IV","-2.1%","-1.1% put","5.3% call","-2.5% ATM put","-0.9% ATM call","$660 strike","18,184 vol","0.5%","36.20%","$155.65","151 days"
Jul 17, 2026,"252 days","Monthly","1,092 calls","832 puts","0.76 ratio","20,886 calls OI","29,789 puts OI","1.43 OI","59.21% IV","±160.26%","$400 max pain","-$37.91","59.4% ATM IV","-1.8%","-1.0% put","5.6% call","-2.4% ATM put","-0.5% ATM call","$690 strike","1,923 vol","0.0%","38.40%","$164.86","170 days"
Aug 21, 2026,"287 days","Monthly","804 calls","541 puts","0.67 ratio","23,416 calls OI","17,438 puts OI","0.74 OI","59.63% IV","±172.12%","$205 max pain","-$232.91","59.6% ATM IV","-1.8%","-0.8% put","6.4% call","-2.2% ATM put","-0.5% ATM call","$720 strike","1,345 volume","0.0%","41.10%","$176.63","195 days"
Sep 18, 2026,"315 days","Monthly","2,293 calls","2,888 puts","1.26 put-biased","107,127 calls OI","67,882 puts OI","0.63 OI","59.36% IV","±179.27%","$370 max pain","-$67.91","59.3% ATM IV","-1.7%","-0.6% put","6.8% call","-2.0% ATM put","-0.5% ATM call","$740 strike","5,179 vol","0.1%","42.80%","$183.78","214 days"
Dec 18, 2026,"406 days","Monthly","12,756 calls","1,603 puts","0.13 extreme call-heavy","247,336 calls OI","179,470 puts OI","0.73 OI","59.61% IV","±203.42%","$205 max pain","-$232.91","59.2% ATM IV","-0.7%","-0.5% put","6.4% call","-1.8% ATM put","-1.1% ATM call","$830 strike","14,352 vol","0.4%","48.40%","$207.93","278 days"
Jan 15, 2027,"434 days","Monthly","6,822 calls","2,955 puts","0.43 ratio","509,550 calls OI","182,246 puts OI","0.36 OI","59.72% IV","±210.36%","$270 max pain","-$167.91","59.4% ATM IV","-0.9%","-0.7% put","6.3% call","-1.7% ATM put","-1.4% ATM call","$860 strike","9,729 vol","0.2%","50.00%","$214.97","296 days"
Jun 17, 2027,"587 days","Weekly","1,642 calls","466 puts","0.28 call-heavy","159,457 calls OI","83,480 puts OI","0.52 OI","60.04% IV","±243.42%","$290 max pain","-$147.91","59.5% ATM IV","-0.6%","-1.0% put","6.3% call","-2.1% ATM put","-0.6% ATM call","$940 strike","2,124 vol","0.1%","57.70%","$247.73","401 days"
Dec 17, 2027,"770 days","Monthly","3,826 calls","1,507 puts","0.39 ratio","171,046 calls OI","149,628 puts OI","0.87 OI","60.19% IV","±275.76%","$250 max pain","-$187.91","59.2% ATM IV","-0.6%","-1.9% put","4.5% call","-1.7% ATM put","-0.2% ATM call","$940 strike","5,357 vol","0.1%","65.20%","$279.88","528 days"
Jan 21, 2028,"805 days","Monthly","8,430 calls","1,612 puts","0.19 extreme call bias","63,550 calls OI","32,826 puts OI","0.52 OI","60.14% IV","±281.03%","$450 max pain","+12.09 above","59.2% ATM IV","-0.7%","-2.0% put","3.9% call","-1.3% ATM put","-0.4% ATM call","$940 strike","10,058 vol","0.3%","66.40%","$285.32","552 days"
