,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega,type,expiry,text_content
0,150.0,305.17,295.5,296.05,296.6,3,22,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $150.0 | Last traded price $305.17 | Bid $295.5, Ask $296.6, Mid $296.05 | Volume 3 contracts | Open interest 22 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
11,205.0,238.93,240.5,241.08,241.65,1,5,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $205.0 | Last traded price $238.93 | Bid $240.5, Ask $241.65, Mid $241.08 | Volume 1 contracts | Open interest 5 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
12,210.0,,235.5,236.08,236.65,0,11,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $210.0 | No last trade | Bid $235.5, Ask $236.65, Mid $236.08 | Volume 0 contracts | Open interest 11 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
13,215.0,222.05,230.5,231.08,231.65,1,2,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $215.0 | Last traded price $222.05 | Bid $230.5, Ask $231.65, Mid $231.08 | Volume 1 contracts | Open interest 2 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
14,220.0,228.86,225.5,226.08,226.65,6,12,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $220.0 | Last traded price $228.86 | Bid $225.5, Ask $226.65, Mid $226.08 | Volume 6 contracts | Open interest 12 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
15,225.0,226.95,220.5,221.08,221.65,3,20,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $225.0 | Last traded price $226.95 | Bid $220.5, Ask $221.65, Mid $221.08 | Volume 3 contracts | Open interest 20 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
16,230.0,208.02,215.5,216.08,216.65,1,42,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $230.0 | Last traded price $208.02 | Bid $215.5, Ask $216.65, Mid $216.08 | Volume 1 contracts | Open interest 42 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
17,235.0,210.72,210.5,211.08,211.65,1,15,0.0,1.0,0.0,0.02,0.0,call,2025-11-07:w,"Strike price $235.0 | Last traded price $210.72 | Bid $210.5, Ask $211.65, Mid $211.08 | Volume 1 contracts | Open interest 15 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0200 | Vega 0.00 | Option type call expiring 2025-11-07:w"
18,240.0,204.85,205.5,206.08,206.65,11,33,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $240.0 | Last traded price $204.85 | Bid $205.5, Ask $206.65, Mid $206.08 | Volume 11 contracts | Open interest 33 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
19,245.0,204.47,200.55,201.1,201.65,11,26,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $245.0 | Last traded price $204.47 | Bid $200.55, Ask $201.65, Mid $201.1 | Volume 11 contracts | Open interest 26 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
20,250.0,195.2,195.55,196.1,196.65,4,59,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $250.0 | Last traded price $195.2 | Bid $195.55, Ask $196.65, Mid $196.1 | Volume 4 contracts | Open interest 59 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
21,255.0,,190.55,191.1,191.65,0,4,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $255.0 | No last trade | Bid $190.55, Ask $191.65, Mid $191.1 | Volume 0 contracts | Open interest 4 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
22,260.0,186.1,185.55,186.13,186.7,2,49,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $260.0 | Last traded price $186.1 | Bid $185.55, Ask $186.7, Mid $186.13 | Volume 2 contracts | Open interest 49 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
23,265.0,197.65,180.55,181.13,181.7,3,7,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $265.0 | Last traded price $197.65 | Bid $180.55, Ask $181.7, Mid $181.13 | Volume 3 contracts | Open interest 7 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
24,270.0,180.14,175.55,176.13,176.7,6,47,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $270.0 | Last traded price $180.14 | Bid $175.55, Ask $176.7, Mid $176.13 | Volume 6 contracts | Open interest 47 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
25,275.0,170.88,170.55,171.13,171.7,4,27,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $275.0 | Last traded price $170.88 | Bid $170.55, Ask $171.7, Mid $171.13 | Volume 4 contracts | Open interest 27 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
26,280.0,169.0,165.55,166.13,166.7,12,31,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $280.0 | Last traded price $169.0 | Bid $165.55, Ask $166.7, Mid $166.13 | Volume 12 contracts | Open interest 31 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
27,285.0,156.02,160.55,161.13,161.7,2,22,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $285.0 | Last traded price $156.02 | Bid $160.55, Ask $161.7, Mid $161.13 | Volume 2 contracts | Open interest 22 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
28,290.0,,155.6,156.15,156.7,0,38,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $290.0 | No last trade | Bid $155.6, Ask $156.7, Mid $156.15 | Volume 0 contracts | Open interest 38 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
29,295.0,155.58,150.6,151.15,151.7,8,15,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $295.0 | Last traded price $155.58 | Bid $150.6, Ask $151.7, Mid $151.15 | Volume 8 contracts | Open interest 15 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
30,300.0,149.03,145.6,146.15,146.7,17,169,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $300.0 | Last traded price $149.03 | Bid $145.6, Ask $146.7, Mid $146.15 | Volume 17 contracts | Open interest 169 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
31,305.0,139.96,140.6,141.18,141.75,8,57,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $305.0 | Last traded price $139.96 | Bid $140.6, Ask $141.75, Mid $141.18 | Volume 8 contracts | Open interest 57 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
32,310.0,138.79,135.6,136.18,136.75,73,102,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $310.0 | Last traded price $138.79 | Bid $135.6, Ask $136.75, Mid $136.18 | Volume 73 contracts | Open interest 102 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
33,315.0,132.37,130.6,131.18,131.75,46,70,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $315.0 | Last traded price $132.37 | Bid $130.6, Ask $131.75, Mid $131.18 | Volume 46 contracts | Open interest 70 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
34,320.0,126.13,125.65,126.2,126.75,47,76,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $320.0 | Last traded price $126.13 | Bid $125.65, Ask $126.75, Mid $126.2 | Volume 47 contracts | Open interest 76 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
35,325.0,124.25,120.65,121.2,121.75,21,143,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $325.0 | Last traded price $124.25 | Bid $120.65, Ask $121.75, Mid $121.2 | Volume 21 contracts | Open interest 143 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
36,330.0,117.74,115.65,116.23,116.8,104,140,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $330.0 | Last traded price $117.74 | Bid $115.65, Ask $116.8, Mid $116.23 | Volume 104 contracts | Open interest 140 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
37,332.5,107.75,113.15,113.73,114.3,3,2,0.0,1.0,0.0,0.03,0.0,call,2025-11-07:w,"Strike price $332.5 | Last traded price $107.75 | Bid $113.15, Ask $114.3, Mid $113.73 | Volume 3 contracts | Open interest 2 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0300 | Vega 0.00 | Option type call expiring 2025-11-07:w"
38,335.0,113.8,110.7,111.25,111.8,65,62,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $335.0 | Last traded price $113.8 | Bid $110.7, Ask $111.8, Mid $111.25 | Volume 65 contracts | Open interest 62 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
39,337.5,,108.2,108.75,109.3,0,2,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $337.5 | No last trade | Bid $108.2, Ask $109.3, Mid $108.75 | Volume 0 contracts | Open interest 2 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
40,340.0,105.0,105.7,106.25,106.8,5,92,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $340.0 | Last traded price $105.0 | Bid $105.7, Ask $106.8, Mid $106.25 | Volume 5 contracts | Open interest 92 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
41,342.5,105.8,103.2,103.78,104.35,4,1,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $342.5 | Last traded price $105.8 | Bid $103.2, Ask $104.35, Mid $103.78 | Volume 4 contracts | Open interest 1 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
42,345.0,97.26,100.7,101.28,101.85,17,52,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $345.0 | Last traded price $97.26 | Bid $100.7, Ask $101.85, Mid $101.28 | Volume 17 contracts | Open interest 52 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
43,347.5,,98.25,98.8,99.35,0,5,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $347.5 | No last trade | Bid $98.25, Ask $99.35, Mid $98.8 | Volume 0 contracts | Open interest 5 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
44,350.0,98.6,95.75,96.3,96.85,151,308,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $350.0 | Last traded price $98.6 | Bid $95.75, Ask $96.85, Mid $96.3 | Volume 151 contracts | Open interest 308 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
45,352.5,104.7,93.25,93.8,94.35,2,11,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $352.5 | Last traded price $104.7 | Bid $93.25, Ask $94.35, Mid $93.8 | Volume 2 contracts | Open interest 11 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
46,355.0,94.53,90.75,91.33,91.9,57,111,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $355.0 | Last traded price $94.53 | Bid $90.75, Ask $91.9, Mid $91.33 | Volume 57 contracts | Open interest 111 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
47,357.5,,88.25,88.83,89.4,0,2,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $357.5 | No last trade | Bid $88.25, Ask $89.4, Mid $88.83 | Volume 0 contracts | Open interest 2 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
48,360.0,88.63,85.8,86.35,86.9,92,198,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $360.0 | Last traded price $88.63 | Bid $85.8, Ask $86.9, Mid $86.35 | Volume 92 contracts | Open interest 198 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
49,362.5,,83.3,83.85,84.4,0,20,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $362.5 | No last trade | Bid $83.3, Ask $84.4, Mid $83.85 | Volume 0 contracts | Open interest 20 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
50,365.0,81.11,80.8,81.35,81.9,136,380,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $365.0 | Last traded price $81.11 | Bid $80.8, Ask $81.9, Mid $81.35 | Volume 136 contracts | Open interest 380 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
51,367.5,73.7,78.35,78.9,79.45,5,24,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $367.5 | Last traded price $73.7 | Bid $78.35, Ask $79.45, Mid $78.9 | Volume 5 contracts | Open interest 24 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
52,370.0,78.01,75.85,76.4,76.95,65,358,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $370.0 | Last traded price $78.01 | Bid $75.85, Ask $76.95, Mid $76.4 | Volume 65 contracts | Open interest 358 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
53,372.5,70.34,73.35,73.9,74.45,8,19,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $372.5 | Last traded price $70.34 | Bid $73.35, Ask $74.45, Mid $73.9 | Volume 8 contracts | Open interest 19 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
54,375.0,71.9,70.9,71.45,72.0,137,453,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $375.0 | Last traded price $71.9 | Bid $70.9, Ask $72.0, Mid $71.45 | Volume 137 contracts | Open interest 453 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
55,377.5,68.3,68.4,68.95,69.5,1,3,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $377.5 | Last traded price $68.3 | Bid $68.4, Ask $69.5, Mid $68.95 | Volume 1 contracts | Open interest 3 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
56,380.0,68.06,65.95,66.48,67.0,173,386,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $380.0 | Last traded price $68.06 | Bid $65.95, Ask $67.0, Mid $66.48 | Volume 173 contracts | Open interest 386 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
57,382.5,63.5,63.5,64.03,64.55,2,59,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $382.5 | Last traded price $63.5 | Bid $63.5, Ask $64.55, Mid $64.03 | Volume 2 contracts | Open interest 59 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
58,385.0,60.7,61.05,61.58,62.1,44,140,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $385.0 | Last traded price $60.7 | Bid $61.05, Ask $62.1, Mid $61.58 | Volume 44 contracts | Open interest 140 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
59,387.5,62.29,58.6,59.1,59.6,33,34,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $387.5 | Last traded price $62.29 | Bid $58.6, Ask $59.6, Mid $59.1 | Volume 33 contracts | Open interest 34 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
60,390.0,56.19,56.2,56.68,57.15,164,481,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $390.0 | Last traded price $56.19 | Bid $56.2, Ask $57.15, Mid $56.68 | Volume 164 contracts | Open interest 481 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
61,392.5,56.07,53.7,54.2,54.7,11,16,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $392.5 | Last traded price $56.07 | Bid $53.7, Ask $54.7, Mid $54.2 | Volume 11 contracts | Open interest 16 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
62,395.0,52.81,51.25,51.75,52.25,67,334,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $395.0 | Last traded price $52.81 | Bid $51.25, Ask $52.25, Mid $51.75 | Volume 67 contracts | Open interest 334 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
63,397.5,46.77,48.85,49.33,49.8,5,17,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $397.5 | Last traded price $46.77 | Bid $48.85, Ask $49.8, Mid $49.33 | Volume 5 contracts | Open interest 17 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
64,400.0,47.2,46.45,46.93,47.4,3170,717,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $400.0 | Last traded price $47.2 | Bid $46.45, Ask $47.4, Mid $46.93 | Volume 3170 contracts | Open interest 717 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
65,402.5,46.5,44.05,44.53,45.0,30,65,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $402.5 | Last traded price $46.5 | Bid $44.05, Ask $45.0, Mid $44.53 | Volume 30 contracts | Open interest 65 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
66,405.0,42.41,41.7,42.15,42.6,57,352,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $405.0 | Last traded price $42.41 | Bid $41.7, Ask $42.6, Mid $42.15 | Volume 57 contracts | Open interest 352 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
67,407.5,39.75,39.4,39.83,40.25,39,391,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $407.5 | Last traded price $39.75 | Bid $39.4, Ask $40.25, Mid $39.83 | Volume 39 contracts | Open interest 391 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
68,410.0,37.35,37.0,37.45,37.9,231,393,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $410.0 | Last traded price $37.35 | Bid $37.0, Ask $37.9, Mid $37.45 | Volume 231 contracts | Open interest 393 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
69,412.5,34.77,34.8,35.2,35.6,99,286,0.0,1.0,0.0,0.04,0.0,call,2025-11-07:w,"Strike price $412.5 | Last traded price $34.77 | Bid $34.8, Ask $35.6, Mid $35.2 | Volume 99 contracts | Open interest 286 contracts | Implied volatility 0.00 | Delta 1.00 | Gamma 0.0000 | Theta 0.0400 | Vega 0.00 | Option type call expiring 2025-11-07:w"
