strike,volume,option_type,contract_symbol,contract_display_name,contract_display_name_abbreviated,,strike price text,volume text
475,20593,CALL,TSLA251107C00475000,"TSLA Nov 7, 2025 475.00 call",TSLA 11/07/25 475.0C,,475 Strike price TSLA,"20,593 Volume"
442.5,20474,PUT,TSLA251107P00442500,"TSLA Nov 7, 2025 442.50 put",TSLA 11/07/25 442.5P,,443 Strike price TSLA,"20,474 Volume"
430,20170,CALL,TSLA251107C00430000,"TSLA Nov 7, 2025 430.00 call",TSLA 11/07/25 430.0C,,430 Strike price TSLA,"20,170 Volume"
440,19334,CALL,TSLA251107C00440000,"TSLA Nov 7, 2025 440.00 call",TSLA 11/07/25 440.0C,,440 Strike price TSLA,"19,334 Volume"
450,19294,CALL,TSLA251121C00450000,"TSLA Nov 21, 2025 450.00 call",TSLA 11/21/25 450.0C,,450 Strike price TSLA,"19,294 Volume"
492.5,18655,CALL,TSLA251107C00492500,"TSLA Nov 7, 2025 492.50 call",TSLA 11/07/25 492.5C,,493 Strike price TSLA,"18,655 Volume"
447.5,16234,CALL,TSLA251107C00447500,"TSLA Nov 7, 2025 447.50 call",TSLA 11/07/25 447.5C,,448 Strike price TSLA,"16,234 Volume"
450,15753,CALL,TSLA251114C00450000,"TSLA Nov 14, 2025 450.00 call",TSLA 11/14/25 450.0C,,450 Strike price TSLA,"15,753 Volume"
457.5,14907,CALL,TSLA251107C00457500,"TSLA Nov 7, 2025 457.50 call",TSLA 11/07/25 457.5C,,458 Strike price TSLA,"14,907 Volume"
400,14903,PUT,TSLA251107P00400000,"TSLA Nov 7, 2025 400.00 put",TSLA 11/07/25 400.0P,,400 Strike price TSLA,"14,903 Volume"
500,14785,CALL,TSLA251121C00500000,"TSLA Nov 21, 2025 500.00 call",TSLA 11/21/25 500.0C,,500 Strike price TSLA,"14,785 Volume"
420,14319,PUT,TSLA251107P00420000,"TSLA Nov 7, 2025 420.00 put",TSLA 11/07/25 420.0P,,420 Strike price TSLA,"14,319 Volume"
462.5,14029,PUT,TSLA251107P00462500,"TSLA Nov 7, 2025 462.50 put",TSLA 11/07/25 462.5P,,463 Strike price TSLA,"14,029 Volume"
485,13648,CALL,TSLA251107C00485000,"TSLA Nov 7, 2025 485.00 call",TSLA 11/07/25 485.0C,,485 Strike price TSLA,"13,648 Volume"
435,12738,PUT,TSLA251107P00435000,"TSLA Nov 7, 2025 435.00 put",TSLA 11/07/25 435.0P,,435 Strike price TSLA,"12,738 Volume"
450,12283,PUT,TSLA251114P00450000,"TSLA Nov 14, 2025 450.00 put",TSLA 11/14/25 450.0P,,450 Strike price TSLA,"12,283 Volume"
495,12281,CALL,TSLA251107C00495000,"TSLA Nov 7, 2025 495.00 call",TSLA 11/07/25 495.0C,,495 Strike price TSLA,"12,281 Volume"
452.5,12219,PUT,TSLA251107P00452500,"TSLA Nov 7, 2025 452.50 put",TSLA 11/07/25 452.5P,,453 Strike price TSLA,"12,219 Volume"
460,11839,CALL,TSLA251114C00460000,"TSLA Nov 14, 2025 460.00 call",TSLA 11/14/25 460.0C,,460 Strike price TSLA,"11,839 Volume"
447.5,11770,PUT,TSLA251107P00447500,"TSLA Nov 7, 2025 447.50 put",TSLA 11/07/25 447.5P,,448 Strike price TSLA,"11,770 Volume"
440,11092,CALL,TSLA251114C00440000,"TSLA Nov 14, 2025 440.00 call",TSLA 11/14/25 440.0C,,440 Strike price TSLA,"11,092 Volume"
457.5,10573,PUT,TSLA251107P00457500,"TSLA Nov 7, 2025 457.50 put",TSLA 11/07/25 457.5P,,458 Strike price TSLA,"10,573 Volume"
465,10125,PUT,TSLA251107P00465000,"TSLA Nov 7, 2025 465.00 put",TSLA 11/07/25 465.0P,,465 Strike price TSLA,"10,125 Volume"
467.5,9965,CALL,TSLA251107C00467500,"TSLA Nov 7, 2025 467.50 call",TSLA 11/07/25 467.5C,,468 Strike price TSLA,"9,965 Volume"
660,9500,CALL,TSLA251114C00660000,"TSLA Nov 14, 2025 660.00 call",TSLA 11/14/25 660.0C,,660 Strike price TSLA,"9,500 Volume"
410,8920,PUT,TSLA251107P00410000,"TSLA Nov 7, 2025 410.00 put",TSLA 11/07/25 410.0P,,410 Strike price TSLA,"8,920 Volume"
487.5,8817,CALL,TSLA251107C00487500,"TSLA Nov 7, 2025 487.50 call",TSLA 11/07/25 487.5C,,488 Strike price TSLA,"8,817 Volume"
505,8801,CALL,TSLA251107C00505000,"TSLA Nov 7, 2025 505.00 call",TSLA 11/07/25 505.0C,,505 Strike price TSLA,"8,801 Volume"
470,8694,CALL,TSLA251114C00470000,"TSLA Nov 14, 2025 470.00 call",TSLA 11/14/25 470.0C,,470 Strike price TSLA,"8,694 Volume"
437.5,8447,PUT,TSLA251107P00437500,"TSLA Nov 7, 2025 437.50 put",TSLA 11/07/25 437.5P,,438 Strike price TSLA,"8,447 Volume"
510,8396,CALL,TSLA251107C00510000,"TSLA Nov 7, 2025 510.00 call",TSLA 11/07/25 510.0C,,510 Strike price TSLA,"8,396 Volume"
472.5,8394,CALL,TSLA251107C00472500,"TSLA Nov 7, 2025 472.50 call",TSLA 11/07/25 472.5C,,473 Strike price TSLA,"8,394 Volume"
455,8159,CALL,TSLA251114C00455000,"TSLA Nov 14, 2025 455.00 call",TSLA 11/14/25 455.0C,,455 Strike price TSLA,"8,159 Volume"
425,8077,PUT,TSLA251107P00425000,"TSLA Nov 7, 2025 425.00 put",TSLA 11/07/25 425.0P,,425 Strike price TSLA,"8,077 Volume"
500,7540,CALL,TSLA251219C00500000,"TSLA Dec 19, 2025 500.00 call",TSLA 12/19/25 500.0C,,500 Strike price TSLA,"7,540 Volume"
420,7461,CALL,TSLA251107C00420000,"TSLA Nov 7, 2025 420.00 call",TSLA 11/07/25 420.0C,,420 Strike price TSLA,"7,461 Volume"
415,7445,PUT,TSLA251107P00415000,"TSLA Nov 7, 2025 415.00 put",TSLA 11/07/25 415.0P,,415 Strike price TSLA,"7,445 Volume"
442.5,7364,CALL,TSLA251107C00442500,"TSLA Nov 7, 2025 442.50 call",TSLA 11/07/25 442.5C,,443 Strike price TSLA,"7,364 Volume"
470,6958,PUT,TSLA251107P00470000,"TSLA Nov 7, 2025 470.00 put",TSLA 11/07/25 470.0P,,470 Strike price TSLA,"6,958 Volume"
477.5,6716,CALL,TSLA251107C00477500,"TSLA Nov 7, 2025 477.50 call",TSLA 11/07/25 477.5C,,478 Strike price TSLA,"6,716 Volume"
417.5,6689,PUT,TSLA251107P00417500,"TSLA Nov 7, 2025 417.50 put",TSLA 11/07/25 417.5P,,418 Strike price TSLA,"6,689 Volume"
600,6542,CALL,TSLA260116C00600000,"TSLA Jan 16, 2026 600.00 call",TSLA 01/16/26 600.0C,,600 Strike price TSLA,"6,542 Volume"
482.5,6542,CALL,TSLA251107C00482500,"TSLA Nov 7, 2025 482.50 call",TSLA 11/07/25 482.5C,,483 Strike price TSLA,"6,542 Volume"
432.5,6385,PUT,TSLA251107P00432500,"TSLA Nov 7, 2025 432.50 put",TSLA 11/07/25 432.5P,,433 Strike price TSLA,"6,385 Volume"
480,6330,CALL,TSLA251114C00480000,"TSLA Nov 14, 2025 480.00 call",TSLA 11/14/25 480.0C,,480 Strike price TSLA,"6,330 Volume"
422.5,6146,PUT,TSLA251107P00422500,"TSLA Nov 7, 2025 422.50 put",TSLA 11/07/25 422.5P,,423 Strike price TSLA,"6,146 Volume"
520,6021,CALL,TSLA251107C00520000,"TSLA Nov 7, 2025 520.00 call",TSLA 11/07/25 520.0C,,520 Strike price TSLA,"6,021 Volume"
427.5,5888,PUT,TSLA251107P00427500,"TSLA Nov 7, 2025 427.50 put",TSLA 11/07/25 427.5P,,428 Strike price TSLA,"5,888 Volume"
452.5,5881,CALL,TSLA251114C00452500,"TSLA Nov 14, 2025 452.50 call",TSLA 11/14/25 452.5C,,453 Strike price TSLA,"5,881 Volume"
460,5603,CALL,TSLA251121C00460000,"TSLA Nov 21, 2025 460.00 call",TSLA 11/21/25 460.0C,,460 Strike price TSLA,"5,603 Volume"
440,5427,PUT,TSLA251121P00440000,"TSLA Nov 21, 2025 440.00 put",TSLA 11/21/25 440.0P,,440 Strike price TSLA,"5,427 Volume"
460,5309,PUT,TSLA251114P00460000,"TSLA Nov 14, 2025 460.00 put",TSLA 11/14/25 460.0P,,460 Strike price TSLA,"5,309 Volume"
497.5,5187,CALL,TSLA251107C00497500,"TSLA Nov 7, 2025 497.50 call",TSLA 11/07/25 497.5C,,498 Strike price TSLA,"5,187 Volume"
500,5132,CALL,TSLA260320C00500000,"TSLA Mar 20, 2026 500.00 call",TSLA 03/20/26 500.0C,,500 Strike price TSLA,"5,132 Volume"
405,5021,PUT,TSLA251107P00405000,"TSLA Nov 7, 2025 405.00 put",TSLA 11/07/25 405.0P,,405 Strike price TSLA,"5,021 Volume"
500,5007,PUT,TSLA261218P00500000,"TSLA Dec 18, 2026 500.00 put",TSLA 12/18/26 500.0P,,500 Strike price TSLA,"5,007 Volume"
500,5004,PUT,TSLA260618P00500000,"TSLA Jun 18, 2026 500.00 put",TSLA 06/18/26 500.0P,,500 Strike price TSLA,"5,004 Volume"
507.5,4984,CALL,TSLA251107C00507500,"TSLA Nov 7, 2025 507.50 call",TSLA 11/07/25 507.5C,,508 Strike price TSLA,"4,984 Volume"
412.5,4953,PUT,TSLA251107P00412500,"TSLA Nov 7, 2025 412.50 put",TSLA 11/07/25 412.5P,,413 Strike price TSLA,"4,953 Volume"
450,4751,CALL,TSLA260116C00450000,"TSLA Jan 16, 2026 450.00 call",TSLA 01/16/26 450.0C,,450 Strike price TSLA,"4,751 Volume"
240,4533,PUT,TSLA251114P00240000,"TSLA Nov 14, 2025 240.00 put",TSLA 11/14/25 240.0P,,240 Strike price TSLA,"4,533 Volume"
440,4496,PUT,TSLA251114P00440000,"TSLA Nov 14, 2025 440.00 put",TSLA 11/14/25 440.0P,,440 Strike price TSLA,"4,496 Volume"
500,4465,CALL,TSLA260116C00500000,"TSLA Jan 16, 2026 500.00 call",TSLA 01/16/26 500.0C,,500 Strike price TSLA,"4,465 Volume"
490,4445,CALL,TSLA251114C00490000,"TSLA Nov 14, 2025 490.00 call",TSLA 11/14/25 490.0C,,490 Strike price TSLA,"4,445 Volume"
250,4266,PUT,TSLA251114P00250000,"TSLA Nov 14, 2025 250.00 put",TSLA 11/14/25 250.0P,,250 Strike price TSLA,"4,266 Volume"
390,4254,PUT,TSLA251107P00390000,"TSLA Nov 7, 2025 390.00 put",TSLA 11/07/25 390.0P,,390 Strike price TSLA,"4,254 Volume"
445,4251,CALL,TSLA251114C00445000,"TSLA Nov 14, 2025 445.00 call",TSLA 11/14/25 445.0C,,445 Strike price TSLA,"4,251 Volume"
465,4219,CALL,TSLA251114C00465000,"TSLA Nov 14, 2025 465.00 call",TSLA 11/14/25 465.0C,,465 Strike price TSLA,"4,219 Volume"
525,4167,CALL,TSLA251107C00525000,"TSLA Nov 7, 2025 525.00 call",TSLA 11/07/25 525.0C,,525 Strike price TSLA,"4,167 Volume"
445,4160,PUT,TSLA251114P00445000,"TSLA Nov 14, 2025 445.00 put",TSLA 11/14/25 445.0P,,445 Strike price TSLA,"4,160 Volume"
480,4142,PUT,TSLA251107P00480000,"TSLA Nov 7, 2025 480.00 put",TSLA 11/07/25 480.0P,,480 Strike price TSLA,"4,142 Volume"
480,4005,CALL,TSLA251121C00480000,"TSLA Nov 21, 2025 480.00 call",TSLA 11/21/25 480.0C,,480 Strike price TSLA,"4,005 Volume"
380,3926,PUT,TSLA251107P00380000,"TSLA Nov 7, 2025 380.00 put",TSLA 11/07/25 380.0P,,380 Strike price TSLA,"3,926 Volume"
502.5,3908,CALL,TSLA251107C00502500,"TSLA Nov 7, 2025 502.50 call",TSLA 11/07/25 502.5C,,503 Strike price TSLA,"3,908 Volume"
435,3750,CALL,TSLA251107C00435000,"TSLA Nov 7, 2025 435.00 call",TSLA 11/07/25 435.0C,,435 Strike price TSLA,"3,750 Volume"
470,3720,CALL,TSLA251121C00470000,"TSLA Nov 21, 2025 470.00 call",TSLA 11/21/25 470.0C,,470 Strike price TSLA,"3,720 Volume"
500,3702,CALL,TSLA251128C00500000,"TSLA Nov 28, 2025 500.00 call",TSLA 11/28/25 500.0C,,500 Strike price TSLA,"3,702 Volume"
397.5,3663,PUT,TSLA251107P00397500,"TSLA Nov 7, 2025 397.50 put",TSLA 11/07/25 397.5P,,398 Strike price TSLA,"3,663 Volume"
460,3463,CALL,TSLA251219C00460000,"TSLA Dec 19, 2025 460.00 call",TSLA 12/19/25 460.0C,,460 Strike price TSLA,"3,463 Volume"
400,3446,PUT,TSLA251114P00400000,"TSLA Nov 14, 2025 400.00 put",TSLA 11/14/25 400.0P,,400 Strike price TSLA,"3,446 Volume"
420,3432,PUT,TSLA251114P00420000,"TSLA Nov 14, 2025 420.00 put",TSLA 11/14/25 420.0P,,420 Strike price TSLA,"3,432 Volume"
530,3362,CALL,TSLA251107C00530000,"TSLA Nov 7, 2025 530.00 call",TSLA 11/07/25 530.0C,,530 Strike price TSLA,"3,362 Volume"
447.5,3361,CALL,TSLA251114C00447500,"TSLA Nov 14, 2025 447.50 call",TSLA 11/14/25 447.5C,,448 Strike price TSLA,"3,361 Volume"
520,3328,CALL,TSLA251114C00520000,"TSLA Nov 14, 2025 520.00 call",TSLA 11/14/25 520.0C,,520 Strike price TSLA,"3,328 Volume"
550,3230,CALL,TSLA251114C00550000,"TSLA Nov 14, 2025 550.00 call",TSLA 11/14/25 550.0C,,550 Strike price TSLA,"3,230 Volume"
407.5,3102,PUT,TSLA251107P00407500,"TSLA Nov 7, 2025 407.50 put",TSLA 11/07/25 407.5P,,408 Strike price TSLA,"3,102 Volume"
515,3055,CALL,TSLA251107C00515000,"TSLA Nov 7, 2025 515.00 call",TSLA 11/07/25 515.0C,,515 Strike price TSLA,"3,055 Volume"
255,3032,PUT,TSLA251114P00255000,"TSLA Nov 14, 2025 255.00 put",TSLA 11/14/25 255.0P,,255 Strike price TSLA,"3,032 Volume"
475,2888,CALL,TSLA251114C00475000,"TSLA Nov 14, 2025 475.00 call",TSLA 11/14/25 475.0C,,475 Strike price TSLA,"2,888 Volume"
470,2879,PUT,TSLA251114P00470000,"TSLA Nov 14, 2025 470.00 put",TSLA 11/14/25 470.0P,,470 Strike price TSLA,"2,879 Volume"
455,2863,CALL,TSLA251121C00455000,"TSLA Nov 21, 2025 455.00 call",TSLA 11/21/25 455.0C,,455 Strike price TSLA,"2,863 Volume"
395,2814,PUT,TSLA251107P00395000,"TSLA Nov 7, 2025 395.00 put",TSLA 11/07/25 395.0P,,395 Strike price TSLA,"2,814 Volume"
585,2799,CALL,TSLA251107C00585000,"TSLA Nov 7, 2025 585.00 call",TSLA 11/07/25 585.0C,,585 Strike price TSLA,"2,799 Volume"
550,2589,CALL,TSLA251107C00550000,"TSLA Nov 7, 2025 550.00 call",TSLA 11/07/25 550.0C,,550 Strike price TSLA,"2,589 Volume"
550,2541,CALL,TSLA251219C00550000,"TSLA Dec 19, 2025 550.00 call",TSLA 12/19/25 550.0C,,550 Strike price TSLA,"2,541 Volume"
350,2532,PUT,TSLA251107P00350000,"TSLA Nov 7, 2025 350.00 put",TSLA 11/07/25 350.0P,,350 Strike price TSLA,"2,532 Volume"
560,2502,CALL,TSLA251219C00560000,"TSLA Dec 19, 2025 560.00 call",TSLA 12/19/25 560.0C,,560 Strike price TSLA,"2,502 Volume"
510,2463,CALL,TSLA251114C00510000,"TSLA Nov 14, 2025 510.00 call",TSLA 11/14/25 510.0C,,510 Strike price TSLA,"2,463 Volume"
430,2434,PUT,TSLA251114P00430000,"TSLA Nov 14, 2025 430.00 put",TSLA 11/14/25 430.0P,,430 Strike price TSLA,"2,434 Volume"
600,2425,CALL,TSLA251114C00600000,"TSLA Nov 14, 2025 600.00 call",TSLA 11/14/25 600.0C,,600 Strike price TSLA,"2,425 Volume"
155,2379,PUT,TSLA260116P00155000,"TSLA Jan 16, 2026 155.00 put",TSLA 01/16/26 155.0P,,155 Strike price TSLA,"2,379 Volume"
467.5,2326,PUT,TSLA251107P00467500,"TSLA Nov 7, 2025 467.50 put",TSLA 11/07/25 467.5P,,468 Strike price TSLA,"2,326 Volume"
447.5,2305,PUT,TSLA251114P00447500,"TSLA Nov 14, 2025 447.50 put",TSLA 11/14/25 447.5P,,448 Strike price TSLA,"2,305 Volume"
250,2298,PUT,TSLA251107P00250000,"TSLA Nov 7, 2025 250.00 put",TSLA 11/07/25 250.0P,,250 Strike price TSLA,"2,298 Volume"
600,2259,CALL,TSLA251219C00600000,"TSLA Dec 19, 2025 600.00 call",TSLA 12/19/25 600.0C,,600 Strike price TSLA,"2,259 Volume"
430,2252,CALL,TSLA251114C00430000,"TSLA Nov 14, 2025 430.00 call",TSLA 11/14/25 430.0C,,430 Strike price TSLA,"2,252 Volume"
465,2212,CALL,TSLA251121C00465000,"TSLA Nov 21, 2025 465.00 call",TSLA 11/21/25 465.0C,,465 Strike price TSLA,"2,212 Volume"
462.5,2207,CALL,TSLA251114C00462500,"TSLA Nov 14, 2025 462.50 call",TSLA 11/14/25 462.5C,,463 Strike price TSLA,"2,207 Volume"
410,2205,PUT,TSLA251121P00410000,"TSLA Nov 21, 2025 410.00 put",TSLA 11/21/25 410.0P,,410 Strike price TSLA,"2,205 Volume"
455,2168,PUT,TSLA251114P00455000,"TSLA Nov 14, 2025 455.00 put",TSLA 11/14/25 455.0P,,455 Strike price TSLA,"2,168 Volume"
387.5,2160,PUT,TSLA251107P00387500,"TSLA Nov 7, 2025 387.50 put",TSLA 11/07/25 387.5P,,388 Strike price TSLA,"2,160 Volume"
437.5,2154,CALL,TSLA251107C00437500,"TSLA Nov 7, 2025 437.50 call",TSLA 11/07/25 437.5C,,438 Strike price TSLA,"2,154 Volume"
400,2145,PUT,TSLA251121P00400000,"TSLA Nov 21, 2025 400.00 put",TSLA 11/21/25 400.0P,,400 Strike price TSLA,"2,145 Volume"
960,2132,CALL,TSLA260618C00960000,"TSLA Jun 18, 2026 960.00 call",TSLA 06/18/26 960.0C,,960 Strike price TSLA,"2,132 Volume"
550,2118,CALL,TSLA260116C00550000,"TSLA Jan 16, 2026 550.00 call",TSLA 01/16/26 550.0C,,550 Strike price TSLA,"2,118 Volume"
445,2088,CALL,TSLA251121C00445000,"TSLA Nov 21, 2025 445.00 call",TSLA 11/21/25 445.0C,,445 Strike price TSLA,"2,088 Volume"
475,2074,CALL,TSLA251121C00475000,"TSLA Nov 21, 2025 475.00 call",TSLA 11/21/25 475.0C,,475 Strike price TSLA,"2,074 Volume"
170,2066,PUT,TSLA251107P00170000,"TSLA Nov 7, 2025 170.00 put",TSLA 11/07/25 170.0P,,170 Strike price TSLA,"2,066 Volume"
450,2062,CALL,TSLA251219C00450000,"TSLA Dec 19, 2025 450.00 call",TSLA 12/19/25 450.0C,,450 Strike price TSLA,"2,062 Volume"
512.5,2035,CALL,TSLA251107C00512500,"TSLA Nov 7, 2025 512.50 call",TSLA 11/07/25 512.5C,,513 Strike price TSLA,"2,035 Volume"
800,1943,CALL,TSLA260618C00800000,"TSLA Jun 18, 2026 800.00 call",TSLA 06/18/26 800.0C,,800 Strike price TSLA,"1,943 Volume"
402.5,1933,PUT,TSLA251107P00402500,"TSLA Nov 7, 2025 402.50 put",TSLA 11/07/25 402.5P,,403 Strike price TSLA,"1,933 Volume"
485,1932,CALL,TSLA251114C00485000,"TSLA Nov 14, 2025 485.00 call",TSLA 11/14/25 485.0C,,485 Strike price TSLA,"1,932 Volume"
270,1872,PUT,TSLA251107P00270000,"TSLA Nov 7, 2025 270.00 put",TSLA 11/07/25 270.0P,,270 Strike price TSLA,"1,872 Volume"
475,1836,PUT,TSLA251107P00475000,"TSLA Nov 7, 2025 475.00 put",TSLA 11/07/25 475.0P,,475 Strike price TSLA,"1,836 Volume"
420,1810,PUT,TSLA251121P00420000,"TSLA Nov 21, 2025 420.00 put",TSLA 11/21/25 420.0P,,420 Strike price TSLA,"1,810 Volume"
467.5,1796,CALL,TSLA251114C00467500,"TSLA Nov 14, 2025 467.50 call",TSLA 11/14/25 467.5C,,468 Strike price TSLA,"1,796 Volume"
450,1775,PUT,TSLA260116P00450000,"TSLA Jan 16, 2026 450.00 put",TSLA 01/16/26 450.0P,,450 Strike price TSLA,"1,775 Volume"
600,1764,CALL,TSLA251107C00600000,"TSLA Nov 7, 2025 600.00 call",TSLA 11/07/25 600.0C,,600 Strike price TSLA,"1,764 Volume"
460,1764,CALL,TSLA251128C00460000,"TSLA Nov 28, 2025 460.00 call",TSLA 11/28/25 460.0C,,460 Strike price TSLA,"1,764 Volume"
960,1748,CALL,TSLA251219C00960000,"TSLA Dec 19, 2025 960.00 call",TSLA 12/19/25 960.0C,,960 Strike price TSLA,"1,748 Volume"
517.5,1730,CALL,TSLA251107C00517500,"TSLA Nov 7, 2025 517.50 call",TSLA 11/07/25 517.5C,,518 Strike price TSLA,"1,730 Volume"
600,1701,CALL,TSLA251121C00600000,"TSLA Nov 21, 2025 600.00 call",TSLA 11/21/25 600.0C,,600 Strike price TSLA,"1,701 Volume"
462.5,1699,PUT,TSLA251114P00462500,"TSLA Nov 14, 2025 462.50 put",TSLA 11/14/25 462.5P,,463 Strike price TSLA,"1,699 Volume"
450,1687,PUT,TSLA251121P00450000,"TSLA Nov 21, 2025 450.00 put",TSLA 11/21/25 450.0P,,450 Strike price TSLA,"1,687 Volume"
450,1684,CALL,TSLA251128C00450000,"TSLA Nov 28, 2025 450.00 call",TSLA 11/28/25 450.0C,,450 Strike price TSLA,"1,684 Volume"
460,1652,CALL,TSLA260116C00460000,"TSLA Jan 16, 2026 460.00 call",TSLA 01/16/26 460.0C,,460 Strike price TSLA,"1,652 Volume"
447.5,1645,CALL,TSLA251121C00447500,"TSLA Nov 21, 2025 447.50 call",TSLA 11/21/25 447.5C,,448 Strike price TSLA,"1,645 Volume"
450,1631,CALL,TSLA251205C00450000,"TSLA Dec 5, 2025 450.00 call",TSLA 12/05/25 450.0C,,450 Strike price TSLA,"1,631 Volume"
490,1593,CALL,TSLA251219C00490000,"TSLA Dec 19, 2025 490.00 call",TSLA 12/19/25 490.0C,,490 Strike price TSLA,"1,593 Volume"
220,1572,PUT,TSLA251114P00220000,"TSLA Nov 14, 2025 220.00 put",TSLA 11/14/25 220.0P,,220 Strike price TSLA,"1,572 Volume"
425,1564,PUT,TSLA251114P00425000,"TSLA Nov 14, 2025 425.00 put",TSLA 11/14/25 425.0P,,425 Strike price TSLA,"1,564 Volume"
505,1491,CALL,TSLA251114C00505000,"TSLA Nov 14, 2025 505.00 call",TSLA 11/14/25 505.0C,,505 Strike price TSLA,"1,491 Volume"
550,1487,CALL,TSLA251121C00550000,"TSLA Nov 21, 2025 550.00 call",TSLA 11/21/25 550.0C,,550 Strike price TSLA,"1,487 Volume"
500,1482,CALL,TSLA251205C00500000,"TSLA Dec 5, 2025 500.00 call",TSLA 12/05/25 500.0C,,500 Strike price TSLA,"1,482 Volume"
440,1481,CALL,TSLA251121C00440000,"TSLA Nov 21, 2025 440.00 call",TSLA 11/21/25 440.0C,,440 Strike price TSLA,"1,481 Volume"
580,1445,CALL,TSLA251107C00580000,"TSLA Nov 7, 2025 580.00 call",TSLA 11/07/25 580.0C,,580 Strike price TSLA,"1,445 Volume"
410,1443,PUT,TSLA251114P00410000,"TSLA Nov 14, 2025 410.00 put",TSLA 11/14/25 410.0P,,410 Strike price TSLA,"1,443 Volume"
525,1440,CALL,TSLA251114C00525000,"TSLA Nov 14, 2025 525.00 call",TSLA 11/14/25 525.0C,,525 Strike price TSLA,"1,440 Volume"
452.5,1438,PUT,TSLA251114P00452500,"TSLA Nov 14, 2025 452.50 put",TSLA 11/14/25 452.5P,,453 Strike price TSLA,"1,438 Volume"
650,1429,CALL,TSLA260116C00650000,"TSLA Jan 16, 2026 650.00 call",TSLA 01/16/26 650.0C,,650 Strike price TSLA,"1,429 Volume"
490,1409,CALL,TSLA251121C00490000,"TSLA Nov 21, 2025 490.00 call",TSLA 11/21/25 490.0C,,490 Strike price TSLA,"1,409 Volume"
462.5,1407,CALL,TSLA251121C00462500,"TSLA Nov 21, 2025 462.50 call",TSLA 11/21/25 462.5C,,463 Strike price TSLA,"1,407 Volume"
560,1406,CALL,TSLA251114C00560000,"TSLA Nov 14, 2025 560.00 call",TSLA 11/14/25 560.0C,,560 Strike price TSLA,"1,406 Volume"
